15:29:33;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:29:34;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:29:34;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:29:35;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:29:35;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:29:36;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:29:36;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:29:37;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:29:38;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:29:38;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:29:39;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:29:39;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:29:40;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:29:40;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:29:41;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:29:41;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:29:42;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:29:42;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:29:43;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:29:43;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:29:44;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:29:44;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:29:45;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:29:45;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:29:46;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:29:46;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:29:47;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:29:47;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:29:48;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:29:48;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:29:49;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:29:49;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:29:50;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:29:50;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:29:51;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:29:51;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:29:52;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:29:52;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:29:53;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:29:53;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:29:54;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:29:54;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:29:55;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:29:55;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:29:56;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:29:56;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:29:57;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:29:57;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:29:58;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:29:58;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:29:59;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:29:59;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:30:00;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:30:00;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:30:01;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:30:01;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:30:02;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:30:02;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:30:03;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:30:04;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:30:04;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:30:05;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:30:05;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:30:06;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:30:06;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:30:07;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:30:07;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:30:08;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:30:08;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:30:09;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:30:09;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:30:10;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:30:10;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:30:11;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:30:11;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:30:12;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:30:12;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:30:13;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:30:13;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:30:14;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:30:14;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:30:15;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:30:15;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:30:16;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:30:16;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:30:17;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:30:17;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:30:18;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:30:18;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:30:19;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:30:19;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:30:20;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:30:20;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:30:21;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:30:21;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:30:22;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:30:22;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:30:23;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:30:23;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:30:24;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:30:24;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:30:25;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:30:26;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:30:26;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:30:27;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:30:27;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:30:28;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:30:28;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:30:29;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:30:29;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:30:30;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:30:30;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:30:31;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:30:31;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:30:32;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:30:32;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:30:33;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:30:33;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:30:34;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:30:34;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:30:35;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:30:35;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:30:36;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:30:36;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:30:37;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:30:37;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:30:38;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:30:38;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:30:39;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:30:39;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:30:40;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:30:40;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:30:41;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:30:41;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:30:42;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:30:42;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:30:43;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:30:43;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:30:44;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:30:44;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:30:45;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:30:45;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:30:46;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:30:46;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:30:47;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:30:47;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:30:48;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:30:48;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:30:49;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:30:49;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:30:50;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:30:51;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:30:51;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:30:52;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:30:52;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:30:53;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:30:53;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:30:54;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:30:54;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:30:55;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:30:55;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:30:56;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:30:56;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:30:57;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:30:57;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:30:58;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:30:58;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:30:59;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:30:59;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:31:00;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:31:00;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:31:01;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:31:01;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:31:02;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:31:02;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:31:03;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:31:03;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:31:04;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:31:04;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:31:05;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:31:05;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:31:06;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:31:06;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:31:07;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:31:07;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:31:08;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:31:08;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:31:09;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:31:09;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:31:10;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:31:10;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:31:11;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:31:11;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:31:12;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:31:12;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:31:13;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:31:13;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:31:14;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:31:14;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:31:15;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:31:15;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:31:16;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:31:16;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:31:17;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:31:17;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:31:18;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:31:18;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:31:19;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:31:19;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:31:20;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:31:21;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:31:21;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:31:22;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:31:22;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:31:23;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:31:23;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:31:24;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:31:24;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:31:25;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:31:25;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:31:26;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:31:26;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:31:27;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:31:27;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:31:28;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:31:28;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:31:29;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:31:29;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:31:30;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:31:30;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:31:31;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:31:31;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:31:32;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:31:32;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:31:33;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:31:33;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:31:34;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:31:34;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:31:35;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:31:35;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:31:36;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:31:36;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:31:37;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:31:37;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:31:38;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:31:38;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:31:39;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:31:39;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:31:40;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:31:40;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:31:41;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:31:41;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:31:42;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:31:42;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:31:43;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:31:43;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:31:44;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:31:45;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:31:45;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:31:46;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:31:46;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:31:47;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:31:47;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:31:48;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:31:48;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:31:49;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:31:49;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:31:50;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:31:50;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:31:51;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:31:51;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:31:52;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:31:52;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:31:53;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:31:53;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:31:54;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:31:54;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:31:55;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:31:55;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:31:56;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:31:56;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:31:57;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:31:57;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:31:58;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:31:58;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:31:59;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:31:59;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:32:00;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:32:00;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:32:01;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:32:01;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:32:02;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:32:02;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:32:03;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:32:03;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:32:04;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:32:04;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:32:05;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:32:05;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:32:06;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:32:07;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:32:07;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:32:08;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:32:08;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:32:09;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:32:09;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:32:10;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:32:10;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:32:11;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:32:11;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:32:12;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:32:12;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:32:13;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:32:13;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:32:14;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:32:14;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:32:15;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:32:15;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:32:16;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:32:16;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:32:17;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:32:17;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:32:18;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:32:18;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:32:19;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:32:19;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:32:20;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:32:20;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:32:21;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:32:21;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:32:22;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:32:22;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:32:23;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:32:23;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:32:24;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:32:24;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:32:25;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:32:25;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:32:26;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:32:26;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
15:32:27;0,0;0,0;0,07;0,0;0,0;0,0;0,0;0,0;300;
